,SN,filter,jd,mag,abmag,error,survey
114,PS1-11qr,g_P1,55629.3,-18.2,23.64,-99.9,PS1
115,PS1-11qr,g_P1,55632.3,-16.0,23.54,-99.9,PS1
116,PS1-11qr,g_P1,55635.3,-13.7,23.3,-99.9,PS1
117,PS1-11qr,g_P1,55644.4,-6.8,21.83,-99.9,PS1
118,PS1-11qr,g_P1,55650.4,-2.3,21.49,0.04,PS1
119,PS1-11qr,g_P1,55653.4,0.0,21.05,0.03,PS1
120,PS1-11qr,g_P1,55662.3,6.7,21.89,0.08,PS1
121,PS1-11qr,g_P1,55674.3,15.8,23.23,0.16,PS1
122,PS1-11qr,g_P1,55677.3,18.0,23.61,-99.9,PS1
123,PS1-11qr,g_P1,55680.3,20.3,23.35,-99.9,PS1
124,PS1-11qr,r_P1,55629.3,-18.2,23.74,-99.9,PS1
125,PS1-11qr,r_P1,55632.3,-15.9,23.75,-99.9,PS1
126,PS1-11qr,r_P1,55635.3,-13.7,23.94,-99.9,PS1
127,PS1-11qr,r_P1,55650.4,-2.2,21.6,0.06,PS1
128,PS1-11qr,r_P1,55653.4,0.0,21.31,0.06,PS1
129,PS1-11qr,r_P1,55662.3,6.7,21.77,0.07,PS1
130,PS1-11qr,r_P1,55674.3,15.8,23.1,0.14,PS1
131,PS1-11qr,r_P1,55677.3,18.0,23.28,0.18,PS1
132,PS1-11qr,i_P1,55633.3,-15.2,24.02,-99.9,PS1
133,PS1-11qr,i_P1,55645.3,-6.1,23.99,-99.9,PS1
134,PS1-11qr,i_P1,55651.4,-1.5,21.73,0.09,PS1
135,PS1-11qr,i_P1,55654.3,0.7,21.39,0.04,PS1
136,PS1-11qr,i_P1,55672.3,14.3,23.21,0.14,PS1
137,PS1-11qr,i_P1,55675.3,16.5,23.53,0.18,PS1
138,PS1-11qr,i_P1,55681.3,21.1,24.01,0.34,PS1
139,PS1-11qr,z_P1,55631.3,-16.7,23.35,-99.9,PS1
140,PS1-11qr,z_P1,55634.3,-14.4,23.41,-99.9,PS1
141,PS1-11qr,z_P1,55646.3,-5.4,23.28,-99.9,PS1
142,PS1-11qr,z_P1,55649.4,-3.0,22.22,0.2,PS1
143,PS1-11qr,z_P1,55652.4,-0.7,21.78,0.17,PS1
144,PS1-11qr,z_P1,55673.3,15.0,22.92,0.26,PS1
145,PS1-11qr,z_P1,55676.3,17.3,22.86,-99.9,PS1
