,SN,band,jd,absmag,mag,error,survey
55,PS1-10bjp,g,55422.6,-21.6,23.96,-99.9,PS1
56,PS1-10bjp,g,55425.6,-18.9,24.0,-99.9,PS1
57,PS1-10bjp,g,55428.6,-16.2,23.83,-99.9,PS1
58,PS1-10bjp,g,55440.5,-5.4,23.64,-99.9,PS1
59,PS1-10bjp,g,55443.5,-2.7,22.5,0.09,PS1
60,PS1-10bjp,g,55446.6,0.0,20.29,0.02,PS1
61,PS1-10bjp,g,55449.5,2.7,20.34,0.03,PS1
62,PS1-10bjp,g,55452.4,5.3,20.72,0.02,PS1
63,PS1-10bjp,g,55458.3,10.6,21.41,0.19,PS1
64,PS1-10bjp,g,55467.4,18.8,22.48,0.31,PS1
65,PS1-10bjp,g,55476.5,26.9,24.15,-99.9,PS1
66,PS1-10bjp,g,55479.3,29.4,23.46,-99.9,PS1
67,PS1-10bjp,g,55482.3,32.1,23.41,-99.9,PS1
68,PS1-10bjp,g,55485.3,34.8,22.95,-99.9,PS1
69,PS1-10bjp,g,55500.3,48.3,24.15,-99.9,PS1
70,PS1-10bjp,g,55503.3,51.0,23.9,-99.9,PS1
71,PS1-10bjp,r,55422.6,-21.5,23.82,-99.9,PS1
72,PS1-10bjp,r,55425.6,-18.9,23.98,-99.9,PS1
73,PS1-10bjp,r,55440.5,-5.4,23.83,-99.9,PS1
74,PS1-10bjp,r,55443.5,-2.7,22.92,0.12,PS1
75,PS1-10bjp,r,55446.6,0.0,20.55,0.02,PS1
76,PS1-10bjp,r,55449.5,2.7,20.45,0.03,PS1
77,PS1-10bjp,r,55452.4,5.3,20.8,0.02,PS1
78,PS1-10bjp,r,55467.4,18.8,22.43,0.15,PS1
79,PS1-10bjp,r,55476.5,26.9,23.98,-99.9,PS1
80,PS1-10bjp,r,55479.3,29.4,23.44,-99.9,PS1
81,PS1-10bjp,r,55482.3,32.1,23.31,-99.9,PS1
82,PS1-10bjp,r,55485.3,34.8,23.14,-99.9,PS1
83,PS1-10bjp,r,55500.3,48.3,24.01,-99.9,PS1
84,PS1-10bjp,i,55426.6,-18.0,23.87,-99.9,PS1
85,PS1-10bjp,i,55438.6,-7.2,23.67,-99.9,PS1
86,PS1-10bjp,i,55441.5,-4.5,24.31,-99.9,PS1
87,PS1-10bjp,i,55444.5,-1.9,21.62,0.04,PS1
88,PS1-10bjp,i,55447.5,0.9,20.46,0.01,PS1
89,PS1-10bjp,i,55453.5,6.2,20.9,0.02,PS1
90,PS1-10bjp,i,55456.5,8.9,21.1,0.03,PS1
91,PS1-10bjp,i,55465.5,17.0,21.59,0.1,PS1
92,PS1-10bjp,i,55468.4,19.6,21.79,0.17,PS1
93,PS1-10bjp,i,55477.3,27.6,22.84,0.11,PS1
94,PS1-10bjp,i,55480.4,30.4,23.12,0.2,PS1
95,PS1-10bjp,i,55483.3,33.0,23.68,0.25,PS1
96,PS1-10bjp,i,55498.3,46.5,24.15,-99.9,PS1
97,PS1-10bjp,i,55504.4,52.0,23.73,-99.9,PS1
98,PS1-10bjp,z,55424.6,-19.7,23.58,-99.9,PS1
99,PS1-10bjp,z,55439.5,-6.3,23.68,-99.9,PS1
100,PS1-10bjp,z,55442.6,-3.6,23.44,-99.9,PS1
101,PS1-10bjp,z,55445.5,-0.9,21.13,0.05,PS1
102,PS1-10bjp,z,55448.5,1.7,20.75,0.03,PS1
103,PS1-10bjp,z,55451.5,4.5,20.82,0.06,PS1
104,PS1-10bjp,z,55457.3,9.7,21.26,0.07,PS1
105,PS1-10bjp,z,55466.4,17.8,21.88,0.08,PS1
106,PS1-10bjp,z,55484.2,33.9,22.48,0.15,PS1
107,PS1-10bjp,z,55475.3,25.8,22.76,-99.9,PS1
108,PS1-10bjp,z,55478.3,28.5,22.94,-99.9,PS1
109,PS1-10bjp,z,55481.3,31.2,22.76,-99.9,PS1
110,PS1-10bjp,z,55487.3,36.6,22.55,-99.9,PS1
111,PS1-10bjp,z,55499.3,47.4,23.16,-99.9,PS1
112,PS1-10bjp,z,55502.3,50.1,23.66,-99.9,PS1
113,PS1-10bjp,z,55508.3,55.4,23.1,-99.9,PS1
