,SN,absmag,band,error,jd,mag,survey
0,PTF09uj.json,,R,0.1,54984.3,20.5,
1,PTF09uj.json,,NUV,0.1,55002.36,21.7,
2,PTF09uj.json,,NUV,0.04,55004.35,19.32,
3,PTF09uj.json,,R,0.13,55005.3,19.22,
4,PTF09uj.json,,NUV,0.02,55007.98,17.8,
5,PTF09uj.json,,g,0.07,55008.31,18.17,
6,PTF09uj.json,,i,0.05,55008.31,18.42,
7,PTF09uj.json,,r,0.04,55008.31,18.31,
8,PTF09uj.json,,r,0.3,55010.27,18.4,
9,PTF09uj.json,,g,0.07,55012.38,18.69,
10,PTF09uj.json,,i,0.11,55012.38,18.7,
11,PTF09uj.json,,r,0.05,55012.38,18.71,
12,PTF09uj.json,,R,0.2,55015.22,19.27,
13,PTF09uj.json,,R,0.25,55019.20,19.72,
14,PTF09uj.json,,R,0.24,55022.21,20.08,
15,PTF09uj.json,,R,0.32,55024.24,20.21,
16,PTF09uj.json,,R,0.42,55026.23,20.37,
17,PTF09uj.json,,R,0.31,55028.26,20.66,
18,PTF09uj.json,,R,0.74,55031.21,20.89,
19,PTF09uj.json,,R,0.3,55034.20,21.06,
