,Unnamed: 0,SN,absmag,band,error,jd,mag,survey,normmag,trel
0,0,PTF09uj.json,,R,0.1,54984.3,20.5,,1.2800000000000011,-21.0
1,1,PTF09uj.json,,NUV,0.1,55002.36,21.7,,3.8999999999999986,-5.620000000002619
2,2,PTF09uj.json,,NUV,0.04,55004.35,19.32,,1.5199999999999996,-3.6300000000046566
3,3,PTF09uj.json,,R,0.13,55005.3,19.22,,0.0,0.0
4,4,PTF09uj.json,,NUV,0.02,55007.98,17.8,,0.0,0.0
5,5,PTF09uj.json,,g,0.07,55008.31,18.17,,0.0,0.0
6,6,PTF09uj.json,,i,0.05,55008.31,18.42,,0.0,0.0
7,7,PTF09uj.json,,r,0.04,55008.31,18.31,,0.0,0.0
8,8,PTF09uj.json,,r,0.3,55010.27,18.4,,0.08999999999999986,1.9599999999991269
9,9,PTF09uj.json,,g,0.07,55012.38,18.69,,0.5199999999999996,4.069999999999709
10,10,PTF09uj.json,,i,0.11,55012.38,18.7,,0.2799999999999976,4.069999999999709
11,11,PTF09uj.json,,r,0.05,55012.38,18.71,,0.40000000000000213,4.069999999999709
12,12,PTF09uj.json,,R,0.2,55015.22,19.27,,0.05000000000000071,9.919999999998254
13,13,PTF09uj.json,,R,0.25,55019.2,19.72,,0.5,13.89999999999418
14,14,PTF09uj.json,,R,0.24,55022.21,20.08,,0.8599999999999994,16.909999999996217
15,15,PTF09uj.json,,R,0.32,55024.24,20.21,,0.990000000000002,18.939999999995052
16,16,PTF09uj.json,,R,0.42,55026.23,20.37,,1.1500000000000021,20.93000000000029
17,17,PTF09uj.json,,R,0.31,55028.26,20.66,,1.4400000000000013,22.959999999999127
18,18,PTF09uj.json,,R,0.74,55031.21,20.89,,1.6700000000000017,25.909999999996217
19,19,PTF09uj.json,,R,0.3,55034.2,21.06,,1.8399999999999999,28.89999999999418
